,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,popularity,movie_id,runtime_minutes,genres
82,13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,2018,Jurassic World: Fallen Kingdom,Uni.,891800000.0,2018,"[28, 12, 878]",34.958,tt4881806,128.0,"Action,Adventure,Sci-Fi"
83,14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,Guardians of the Galaxy,BV,440200000.0,2014,"[28, 878, 12]",49.606,tt2015381,121.0,"Action,Adventure,Comedy"
84,16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,2014,Captain America: The Winter Soldier,BV,454500000.0,2014,"[28, 12, 878]",18.073,tt1843866,136.0,"Action,Adventure,Sci-Fi"
85,17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,Dawn of the Planet of the Apes,Fox,502100000.0,2014,"[878, 28, 18, 53]",27.641,tt2103281,130.0,"Action,Adventure,Drama"
86,19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,2012,Snow White and the Huntsman,Uni.,241300000.0,2012,"[12, 14, 18]",21.233,tt1735898,127.0,"Action,Adventure,Drama"
87,23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,Tomorrowland,BV,115700000.0,2015,"[12, 10751, 9648, 878]",20.136,tt1964418,130.0,"Action,Adventure,Family"
88,23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,Tomorrowland,BV,115700000.0,2015,"[12, 10751, 9648, 878]",20.136,tt7728220,70.0,Documentary
89,26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,Alice Through the Looking Glass,BV,222400000.0,2016,"[12, 10751, 14]",16.642,tt2567026,113.0,"Adventure,Family,Fantasy"
90,28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,Doctor Strange,BV,445100000.0,2016,"[28, 12, 14, 878]",33.035,tt1211837,115.0,"Action,Adventure,Fantasy"
91,28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,Doctor Strange,BV,445100000.0,2016,"[28, 12, 14, 878]",33.035,tt1211837,115.0,"Action,Adventure,Fantasy"
92,29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,Big Hero 6,BV,435300000.0,2014,"[12, 10751, 16, 28, 35]",36.92,tt2245084,102.0,"Action,Adventure,Animation"
93,29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,Big Hero 6,BV,435300000.0,2014,"[12, 10751, 16, 28, 35]",36.92,tt2245084,102.0,"Action,Adventure,Animation"
94,31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,2012,Wreck-It Ralph,BV,281800000.0,2012,"[10751, 16, 35, 12]",22.967,tt1772341,101.0,"Adventure,Animation,Comedy"
95,32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,2014,Interstellar,Par.,489400000.0,2014,"[12, 18, 878]",28.44,tt0816692,169.0,"Adventure,Drama,Sci-Fi"
96,33,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,2016,Independence Day: Resurgence,Fox,286500000.0,2016,"[28, 12, 878]",15.732,tt1628841,120.0,"Action,Adventure,Sci-Fi"
97,36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,2018,Aquaman,WB,812700000.0,2018,"[28, 12, 14]",38.102,tt1477834,143.0,"Action,Adventure,Fantasy"
98,39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,2015,The Hunger Games: Mockingjay - Part 2,LGF,371700000.0,2015,"[28, 12, 878]",19.487,tt1951266,137.0,"Action,Adventure,Sci-Fi"
99,39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,2015,The Hunger Games: Mockingjay - Part 2,LGF,371700000.0,2015,"[28, 12, 878]",19.487,tt1951266,137.0,"Action,Adventure,Sci-Fi"
100,42,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,2011,X-Men: First Class,Fox,207200000.0,2011,"[28, 878, 12]",1.4469999999999998,tt1270798,131.0,"Action,Adventure,Sci-Fi"
101,46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2016,Warcraft,Uni.,386300000.0,2016,"[28, 12, 14]",21.464,tt0803096,123.0,"Action,Adventure,Fantasy"
102,47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,2016,Deepwater Horizon,LG/S,60400000.0,2016,"[18, 28]",13.685,tt1860357,107.0,"Action,Drama,History"
