,id_x,release_date_x,movie,production_budget,domestic_gross_x,worldwide_gross,release_year,title,studio,foreign_gross,year,genre_ids,original_language,original_title,popularity,vote_average,vote_count
409,55,2011-03-11,Red Riding Hood,42000000.0,37662162.0,91678442.0,2011,Red Riding Hood,WB,51500000.0,2011,"[14, 53, 27]",en,Red Riding Hood,11.856,5.9,1884
410,64,2012-01-27,Man on a Ledge,42000000.0,18620000.0,49621440.0,2012,Man on a Ledge,LG/S,27600000.0,2012,"[28, 53, 80]",en,Man on a Ledge,11.263,6.3,1460
411,74,2011-10-14,The Big Year,41000000.0,7204138.0,7684524.0,2011,The Big Year,Fox,244000.0,2011,[35],en,The Big Year,7.077000000000001,5.8,393
412,78,2015-02-13,Fifty Shades of Grey,40000000.0,166167230.0,570998101.0,2015,Fifty Shades of Grey,Uni.,404800000.0,2015,"[18, 10749, 53]",en,Fifty Shades of Grey,21.229,5.4,6451
413,80,2013-12-13,American Hustle,40000000.0,150117807.0,257878294.0,2013,American Hustle,Sony,101100000.0,2013,"[18, 80]",en,American Hustle,12.481,6.8,4443
414,80,2013-12-13,American Hustle,40000000.0,150117807.0,257878294.0,2013,American Hustle,Sony,101100000.0,2013,"[18, 80]",en,American Hustle,12.481,6.8,4443
415,83,2014-07-25,Lucy,40000000.0,126573960.0,457507776.0,2014,Lucy,Uni.,336700000.0,2014,"[28, 878]",en,Lucy,16.73,6.3,10019
416,84,2013-12-25,Lone Survivor,40000000.0,125095601.0,149804632.0,2013,Lone Survivor,Uni.,29700000.0,2013,"[28, 18, 10752]",en,Lone Survivor,15.404000000000002,7.4,2289
417,95,2016-01-15,Ride Along 2,40000000.0,90862685.0,124827316.0,2016,Ride Along 2,Uni.,33400000.0,2016,"[28, 35]",en,Ride Along 2,12.977,6.2,939
418,97,2015-03-27,Get Hard,40000000.0,90411453.0,106511453.0,2015,Get Hard,WB,21400000.0,2015,[35],en,Get Hard,12.129000000000001,6.0,1469
419,100,2016-10-14,The Accountant,40000000.0,86260045.0,152962083.0,2016,The Accountant,WB,68900000.0,2016,"[80, 53, 18]",en,The Accountant,13.81,6.9,3407
420,100,2016-10-14,The Accountant,40000000.0,86260045.0,152962083.0,2016,The Accountant,WB,68900000.0,2016,"[80, 53, 18]",en,The Accountant,13.81,6.9,3407
421,1,2014-11-14,Dumb and Dumber To,40000000.0,86208010.0,156553592.0,2014,Dumb and Dumber To,Uni.,83600000.0,2014,[35],en,Dumb and Dumber To,15.964,5.5,1842
422,2,2014-04-25,The Other Woman,40000000.0,83911193.0,195111193.0,2014,The Other Woman,IFC,427000.0,2011,[18],en,The Other Woman,9.15,6.2,220
423,2,2014-04-25,The Other Woman,40000000.0,83911193.0,195111193.0,2014,The Other Woman,IFC,427000.0,2011,"[35, 10749]",en,The Other Woman,11.894,6.3,2276
424,2,2014-04-25,The Other Woman,40000000.0,83911193.0,195111193.0,2014,The Other Woman,IFC,427000.0,2011,"[18, 35, 10749]",fr,Amoureux de ma femme,6.359,4.9,60
425,6,2015-09-25,The Intern,40000000.0,75764672.0,197115710.0,2015,The Intern,WB,118800000.0,2015,[35],en,The Intern,14.377,7.1,3373
426,10,2015-10-16,Bridge of Spies,40000000.0,72313754.0,162498338.0,2015,Bridge of Spies,BV,93200000.0,2015,"[53, 18]",en,Bridge of Spies,12.835999999999999,7.2,4313
427,10,2015-10-16,Bridge of Spies,40000000.0,72313754.0,162498338.0,2015,Bridge of Spies,BV,93200000.0,2015,"[53, 18]",en,Bridge of Spies,12.835999999999999,7.2,4313
428,17,2016-11-04,Hacksaw Ridge,40000000.0,67209615.0,168904682.0,2016,Hacksaw Ridge,LGF,108100000.0,2016,"[18, 36, 10752]",en,Hacksaw Ridge,24.074,8.1,6608
429,17,2016-11-04,Hacksaw Ridge,40000000.0,67209615.0,168904682.0,2016,Hacksaw Ridge,LGF,108100000.0,2016,"[18, 36, 10752]",en,Hacksaw Ridge,24.074,8.1,6608
430,21,2011-02-18,Unknown,40000000.0,63686397.0,136123083.0,2011,Unknown,WB,67099999.0,2011,"[28, 9648, 53]",en,Unknown,12.08,6.6,2043
431,25,2011-03-18,The Lincoln Lawyer,40000000.0,58009200.0,87145086.0,2011,The Lincoln Lawyer,LGF,17000000.0,2011,"[80, 18, 53]",en,The Lincoln Lawyer,11.812000000000001,7.1,1525
432,31,2014-11-26,Horrible Bosses 2,40000000.0,54445357.0,105945357.0,2014,Horrible Bosses 2,WB,53200000.0,2014,[35],en,Horrible Bosses 2,18.421,6.2,2581
433,36,2012-08-15,The Odd Life of Timothy Green,40000000.0,51853450.0,55249159.0,2012,The Odd Life of Timothy Green,BV,4200000.0,2012,"[14, 18, 35, 10751]",en,The Odd Life of Timothy Green,9.216000000000001,6.7,605
434,43,2014-06-20,Jersey Boys,40000000.0,47047013.0,65282732.0,2014,Jersey Boys,WB,20600000.0,2014,"[10402, 18]",en,Jersey Boys,6.933,6.9,380
435,49,2011-08-12,Final Destination 5,40000000.0,42587643.0,155011165.0,2011,Final Destination 5,WB (NL),115300000.0,2011,"[27, 9648]",en,Final Destination 5,13.392000000000001,6.0,1701
436,50,2018-11-16,Widows,40000000.0,42402632.0,73866088.0,2018,Widows,Fox,33600000.0,2018,"[80, 53]",en,Widows,20.628,6.5,941
437,54,2014-07-18,Sex Tape,40000000.0,38543473.0,126069509.0,2014,Sex Tape,Sony,87500000.0,2014,[35],en,Sex Tape,20.429000000000002,5.3,2684
438,55,2011-04-15,Scream 4,40000000.0,38180928.0,95989590.0,2011,Scream 4,W/Dim.,59000000.0,2011,"[27, 9648]",en,Scream 4,16.082,6.2,1610
439,58,2011-03-18,Paul,40000000.0,37412945.0,101162106.0,2011,Paul,Uni.,60600000.0,2011,"[12, 35, 878]",en,Paul,15.234000000000002,6.5,3017
440,59,2012-12-19,The Guilt Trip,40000000.0,37134215.0,41294674.0,2012,The Guilt Trip,Par.,4700000.0,2012,[35],en,The Guilt Trip,8.939,5.4,403
441,60,2011-08-26,Colombiana,40000000.0,36665854.0,72295262.0,2011,Colombiana,TriS,24300000.0,2011,"[28, 53, 80, 18]",en,Colombiana,10.584000000000001,6.5,1371
442,62,2018-01-12,The Commuter,40000000.0,36343858.0,101985431.0,2018,The Commuter,LGF,83600000.0,2018,"[28, 53]",en,The Commuter,20.063,6.2,2394
443,69,2016-12-21,Patriots Day,40000000.0,31886361.0,52837989.0,2016,Patriots Day,LGF,18700000.0,2016,"[28, 18, 53, 80, 36]",en,Patriots Day,15.435,6.9,1337
444,69,2016-12-21,Patriots Day,40000000.0,31886361.0,52837989.0,2016,Patriots Day,LGF,18700000.0,2016,"[28, 18, 53, 80, 36]",en,Patriots Day,15.435,6.9,1337
445,77,2013-12-25,Grudge Match,40000000.0,29807260.0,69807260.0,2013,Grudge Match,WB,15100000.0,2013,[35],en,Grudge Match,7.917999999999999,6.0,711
446,81,2017-08-11,The Nut Job 2: Nutty by Nature,40000000.0,28370522.0,57438389.0,2017,The Nut Job 2: Nutty by Nature,ORF,36800000.0,2017,"[10751, 16, 12, 35]",en,The Nut Job 2: Nutty by Nature,8.975,5.7,227
447,84,2017-01-27,Resident Evil: The Final Chapter,40000000.0,26844692.0,314101190.0,2017,Resident Evil: The Final Chapter,SGem,285400000.0,2017,"[28, 27, 878]",en,Resident Evil: The Final Chapter,0.8440000000000001,5.9,1859
448,86,2017-06-30,The House,40000000.0,25584504.0,31192425.0,2017,The House,WB (NL),8600000.0,2017,[35],en,The House,9.62,5.7,474
449,89,2011-01-07,Season of the Witch,40000000.0,24827228.0,91126600.0,2011,Season of the Witch,Rela.,66800000.0,2011,"[12, 14, 28]",en,Season of the Witch,12.535,5.3,1352
450,94,2016-08-26,Mechanic: Resurrection,40000000.0,21218403.0,109738840.0,2016,Mechanic: Resurrection,LG/S,104500000.0,2016,"[28, 80, 53]",en,Mechanic: Resurrection,16.302,5.6,1929
